City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Popondetta,100,PG,1573950714,83,-8.77,148.24,296.34,1.63
Alnavar,12,IN,1573950719,100,15.43,74.74,292.15,2.6
Mataura,32,NZ,1573950724,62,-46.19,168.86,285.93,4.47
Busselton,0,AU,1573950730,43,-33.64,115.35,298.15,1.86
Rikitea,71,PF,1573950735,83,-23.12,-134.97,296.95,6.53
Thompson,90,CA,1573950740,85,55.74,-97.86,265.15,2.6
Beringovskiy,100,RU,1573950750,75,63.05,179.32,271.81,7.0
Antibes,100,FR,1573950602,57,43.58,7.11,284.26,4.1
Kieta,55,PG,1573950761,69,-6.22,155.63,302.46,2.17
Severo-Kurilsk,66,RU,1573950766,74,50.68,156.12,267.67,2.81
Qaanaaq,100,GL,1573950771,95,77.48,-69.36,259.3,2.83
Pisco,11,PE,1573950781,88,-13.71,-76.2,292.15,6.2
Castro,90,CL,1573950786,100,-42.48,-73.76,284.15,8.2
Saint-Philippe,1,CA,1573950792,66,45.36,-73.48,265.93,1.5
Tasiilaq,94,GL,1573950797,86,65.61,-37.64,270.15,5.1
Saint George,40,GR,1573950774,93,39.45,22.34,285.15,0.23
Ushtobe,0,KZ,1573950812,39,45.25,77.98,268.57,0.35
Jamestown,68,AU,1573950754,28,-33.21,138.6,290.52,3.29
Ushuaia,75,AR,1573950804,76,-54.81,-68.31,282.15,6.2
Torbay,40,CA,1573950828,63,47.66,-52.73,272.59,13.4
Talnakh,0,RU,1573950849,70,69.49,88.39,253.15,4.0
Sitka,33,US,1573950854,38,37.17,-99.65,287.59,6.67
Bluff,0,AU,1573950859,26,-23.58,149.07,305.49,6.0
Arraial do Cabo,0,BR,1573950864,84,-22.97,-42.02,295.17,3.38
Bambous Virieux,40,MU,1573950869,83,-20.34,57.76,297.59,5.7
Paamiut,100,GL,1573950873,43,61.99,-49.67,271.88,4.59
Albany,20,US,1573950614,35,42.65,-73.75,269.82,3.1
Leningradskiy,77,RU,1573950885,88,69.38,178.42,263.88,3.08
Parsons,1,US,1573950890,43,37.34,-95.26,284.15,4.6
Bafra,75,TR,1573950895,93,41.57,35.91,285.15,0.5
Mar del Plata,100,AR,1573950900,29,-46.43,-67.52,291.82,9.47
Lithgow,90,AU,1573950905,56,-33.48,150.16,296.48,4.1
Puerto Ayora,40,EC,1573950784,64,-0.74,-90.35,297.15,5.7
Punta Arenas,84,CL,1573950916,57,-53.16,-70.91,284.15,7.2
Sandwick,100,GB,1573950921,100,54.57,-2.89,279.82,2.6
Cayenne,2,GF,1573950827,83,4.94,-52.33,300.15,2.6
Longyan,1,CN,1573950931,80,25.1,117.03,288.6,0.24
Georgetown,40,GY,1573950827,83,6.8,-58.16,301.15,3.1
Vaini,12,IN,1573950942,100,15.34,74.49,292.15,2.6
Bahia de Caraquez,20,EC,1573950947,88,-0.6,-80.42,297.15,6.2
Lompoc,1,US,1573950784,68,34.64,-120.46,300.15,5.7
Kondinskoye,99,RU,1573950957,96,59.65,67.41,266.53,3.15
Henties Bay,88,NA,1573950962,94,-22.12,14.28,289.26,2.24
Gainesville,90,US,1573950967,100,29.65,-82.33,283.15,4.1
Port Alfred,25,ZA,1573950973,94,-33.59,26.89,290.93,0.89
Saskylakh,100,RU,1573950983,98,71.97,114.09,250.68,2.5
New Norfolk,40,AU,1573950813,35,-42.78,147.06,287.59,7.7
Sao Gabriel da Cachoeira,90,BR,1573950998,97,-0.13,-67.09,296.84,0.73
Cape Town,75,ZA,1573951004,72,-33.93,18.42,289.82,8.7
Penapolis,12,BR,1573951009,54,-21.42,-50.08,297.39,3.21
Bathsheba,20,BB,1573951014,88,13.22,-59.52,297.15,2.1
Saldanha,92,PT,1573950908,89,41.42,-6.55,276.59,2.1
Bandarbeyla,35,SO,1573951024,77,9.49,50.81,299.8,9.97
Barrow,33,AR,1573951037,68,-38.31,-60.23,288.66,3.63
Lorengau,100,PG,1573951042,71,-2.02,147.27,302.46,3.88
Hermanus,33,ZA,1573951047,91,-34.42,19.24,288.15,6.0
Grindavik,40,IS,1573951052,74,63.84,-22.43,274.15,5.1
Codrington,90,AU,1573951057,51,-28.95,153.24,301.15,3.1
Qujing,0,CN,1573951062,91,25.49,103.8,281.18,1.08
Esperance,0,AU,1573951068,27,-33.86,121.89,303.15,5.7
Avarua,2,CK,1573951078,78,-21.21,-159.78,299.15,5.7
Abbeville,90,FR,1573951083,87,50.11,1.83,279.15,2.1
Dwarka,0,IN,1573951093,87,28.58,77.04,288.15,2.6
Kungsbacka,90,SE,1573951098,93,57.49,12.08,281.48,2.6
Kruisfontein,100,ZA,1573951104,96,-34.0,24.73,288.18,4.61
Cabo San Lucas,90,MX,1573950893,74,22.89,-109.91,300.15,3.46
Sechura,78,PE,1573951119,88,-5.56,-80.82,292.23,6.52
